sample	title	series
GSM742945	human_lung.single	GSE30017
GSM1154034	RNA-Seq IMR90+IFN-γ 2hr	GSE43070
GSM1154031	RNA-Seq IMR90 with CHX	GSE43070
GSM1023654	IMR90_H1.5KD	GSE41761
GSM1055807	Gro-Seq IMR90+TNF-α	GSE43070
GSM1055806	Gro-Seq IMR90	GSE43070
GSM1023653	IMR90_CrKD	GSE41761
GSM1154030	RNA-Seq IMR90+TNF-α	GSE43070
GSM1154032	RNA-Seq IMR90+TNF-α with CHX	GSE43070
GSM1154033	RNA-Seq IMR90+IFN-γ 0hr	GSE43070
GSM1154029	RNA-Seq IMR90	GSE43070
GSM1376161	COPD lung tissue 5103-COPD	GSE57148
GSM1519976	Erlotinib/crizotinib dual resistant HCC827	GSE62118
GSM1956988	Day4, rep3 (Paired-end)	GSE75487-GSE75492
GSM1376083	COPD lung tissue 1141-COPD	GSE57148
GSM2300455	H838 rep2	GSE86337
GSM1376172	COPD lung tissue 852-COPD	GSE57148
GSM1957022	Control, rep1 (Paired-end)	GSE75491-GSE75492
GSM1376174	COPD lung tissue 984-COPD	GSE57148
GSM1681898	Tum-Neu02	GSE68795
GSM1888333	INSIP-3	GSE73189
GSM1579175	H3122_vitro_crizotinib_48h_rep2	GSE64741
GSM2144090	HCC827_ZEB_b	GSE81167
GSM1376027	Normal lung tissue 3197-NOR	GSE57148
GSM2300452	H2228 rep1	GSE86337
GSM2055789	Lung_rep2	GSE77661
GSM1376100	COPD lung tissue 1785-COPD	GSE57148
GSM1888338	Normal-5	GSE73189
GSM1519974	Vehicle-treated HCC827	GSE62118
GSM1624887	Overexpression of U2AF1_v3_wildtype after U2AF1 knockdown, replicate 2	GSE66553
GSM1267270	IPF8	GSE52463
GSM1376043	Normal lung tissue 3917-NOR	GSE57148
GSM1956985	Day3, rep3 (Paired-end)	GSE75487-GSE75492
GSM1376010	Normal lung tissue 201-NOR	GSE57148
GSM1888330	IPF-4	GSE73189
GSM1443857	P300-_RNA-seq_rep1	GSE59688-GSE59693
GSM1376107	COPD lung tissue 2081-COPD	GSE57148
GSM1376017	Normal lung tissue 2808-NOR	GSE57148
GSM1681895	Tum-IMMC02	GSE68795
GSM1957020	RBM47 KD, rep2 (Paired-end)	GSE75491-GSE75492
GSM1548063	A549 EHF-overexpressing clone 23 rep 3	GSE63397-GSE63400
GSM1624876	Negative control (empty vector, control siRNA), replicate 1	GSE66553
GSM1376054	Normal lung tissue 4361-NOR	GSE57148
GSM1548068	A549 EHF-overexpressing clone 30 rep 3	GSE63397-GSE63400
